name2_entry,uniprot_id,protein_family,cutoff_high,cutoff_medium,total_datapoints,low_count,medium_count,high_count,unknown_count,low_pct,medium_pct,high_pct,low_to_high_ratio,medium_to_high_ratio,imbalance_ratio,max_class,min_class,n_similar_proteins
ADH1A,P07327,Non-IDG Family Targets,6.0,5.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,3
ADRA1A,P35348,GPCR,7.0,6.0,1291,123,278,890,0,9.527498063516655,21.53369481022463,68.93880712625872,0.13820224719101123,0.31235955056179776,7.235772357723577,High,Low,5
ADRA2A,P08913,GPCR,7.0,6.0,895,255,278,362,0,28.49162011173184,31.06145251396648,40.44692737430168,0.7044198895027625,0.7679558011049724,1.419607843137255,High,Low,5
ADRB1,P08588,GPCR,7.0,6.0,961,213,325,423,0,22.164412070759624,33.818938605619145,44.01664932362122,0.5035460992907801,0.7683215130023641,1.9859154929577465,High,Low,4
ADRB2,P07550,GPCR,7.0,6.0,1167,256,191,720,0,21.936589545844047,16.36675235646958,61.696658097686374,0.35555555555555557,0.2652777777777778,3.769633507853403,High,Medium,6
AKR7A3,O95154,Non-IDG Family Targets,6.0,5.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,0
ALDH1A1,P00352,Non-IDG Family Targets,6.0,5.0,231,16,54,161,0,6.926406926406926,23.376623376623375,69.6969696969697,0.09937888198757763,0.33540372670807456,10.0625,High,Low,6
CACNB1,Q02641,Ion channel,5.0,4.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,3
CAV1,Q03135,Non-IDG Family Targets,6.0,5.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,0
CHRM1,P11229,GPCR,7.0,6.0,1383,447,443,493,0,32.32104121475054,32.031814895155456,35.64714389009399,0.9066937119675457,0.8985801217038539,1.1128668171557563,High,Medium,7
CHRM2,P08172,GPCR,7.0,6.0,933,234,247,452,0,25.080385852090032,26.473740621650588,48.44587352625938,0.5176991150442478,0.5464601769911505,1.9316239316239316,High,Low,4
