model_key,protein,uniprot_id,model_type,threshold,qsar_model_run,status,accuracy,f1_macro,f1_weighted,precision_macro,recall_macro,confusion_matrix,n_target_bioactivity_datapoints,n_expanded_proteins,n_expanded_bioactivity_datapoints,n_train_samples,n_test_samples,train_class_distribution,test_class_distribution,n_features,similar_proteins
CYP1A2_P05177_A,CYP1A2,P05177,A,N/A,Yes,success,0.6060606060606061,0.5981121281464531,0.5982638166562652,0.5989900977113254,0.6095238095238095,"[[15, 6, 4], [6, 9, 6], [2, 2, 16]]",329,"","",N/A,N/A,"{'Low': '101 (0.384)', 'Medium': '81 (0.308)', 'High': '81 (0.308)'}","{'Low': '25 (0.379)', 'Medium': '21 (0.318)', 'High': '20 (0.303)'}",2063,N/A
CYP1A2_P05177_B_high,CYP1A2,P05177,B,high,Yes,success,0.6212121212121212,0.6139574711003283,0.6146104977273809,0.611111111111111,0.6228571428571429,"[[16, 7, 2], [6, 9, 6], [2, 2, 16]]",540,3,211,N/A,N/A,"{'Medium': '162 (0.342)', 'High': '160 (0.338)', 'Low': '152 (0.321)'}","{'Low': '25 (0.379)', 'Medium': '21 (0.318)', 'High': '20 (0.303)'}",3023,N/A
CYP1A2_P05177_B_medium,CYP1A2,P05177,B,medium,Yes,success,0.6363636363636364,0.6324157570004746,0.6319735082193554,0.6295448766844648,0.6387301587301587,"[[16, 7, 2], [6, 10, 5], [2, 2, 16]]",550,4,221,N/A,N/A,"{'High': '166 (0.343)', 'Medium': '163 (0.337)', 'Low': '155 (0.320)'}","{'Low': '25 (0.379)', 'Medium': '21 (0.318)', 'High': '20 (0.303)'}",3023,N/A
CYP1A2_P05177_B_low,CYP1A2,P05177,B,low,Yes,success,0.6060606060606061,0.5961084529505583,0.5967812092214005,0.5924183006535948,0.6069841269841271,"[[16, 7, 2], [7, 8, 6], [2, 2, 16]]",3857,34,3530,N/A,N/A,"{'High': '1886 (0.497)', 'Low': '956 (0.252)', 'Medium': '949 (0.250)'}","{'Low': '25 (0.379)', 'Medium': '21 (0.318)', 'High': '20 (0.303)'}",3023,N/A
CYP2B6_P20813_A,CYP2B6,P20813,A,N/A,No,error,N/A,N/A,N/A,N/A,N/A,N/A,33,"","",N/A,N/A,"{'Medium': '10 (0.385)', 'Low': '9 (0.346)', 'High': '7 (0.269)'}","{'Low': '3 (0.429)', 'High': '2 (0.286)', 'Medium': '2 (0.286)'}",N/A,N/A
CYP2B6_P20813_B_high,CYP2B6,P20813,B,high,No,error,N/A,N/A,N/A,N/A,N/A,N/A,79,3,46,N/A,N/A,"{'Low': '34 (0.472)', 'Medium': '27 (0.375)', 'High': '11 (0.153)'}","{'Low': '3 (0.429)', 'High': '2 (0.286)', 'Medium': '2 (0.286)'}",N/A,"P00178,P24460,P00176"
CYP2B6_P20813_B_medium,CYP2B6,P20813,B,medium,No,error,N/A,N/A,N/A,N/A,N/A,N/A,195,9,162,N/A,N/A,"{'Medium': '87 (0.463)', 'Low': '56 (0.298)', 'High': '45 (0.239)'}","{'Low': '3 (0.429)', 'High': '2 (0.286)', 'Medium': '2 (0.286)'}",N/A,"P00178,P24460,P00176,Q16696,P20852,P08683,P20853,P11509,P10632"
CYP2B6_P20813_B_low,CYP2B6,P20813,B,low,No,error,N/A,N/A,N/A,N/A,N/A,N/A,2221,38,2188,N/A,N/A,"{'High': '1020 (0.461)', 'Medium': '950 (0.429)', 'Low': '244 (0.110)'}","{'Low': '3 (0.429)', 'High': '2 (0.286)', 'Medium': '2 (0.286)'}",N/A,"P00178,P24460,P00176,Q16696,P20852,P08683,P20853,P11509,P10632,P24903,P11712,P33261,P33260,Q96SQ9,P24470,P05178,P05181,P05182,P15149,P51589,Q64680,Q16647,P10635,P10634,P12938,P10633,Q8TAV3,Q7Z449,P48281,Q6VVX0,O43174,P53816,Q16678,Q9NWW9,P04798,P00185,P11715,O35084"
CYP2C9_P11712_A,CYP2C9,P11712,A,N/A,Yes,success,0.5638297872340425,0.5639999237528831,0.566609359658056,0.56951871657754,0.5612251547735418,"[[18, 9, 4], [7, 14, 9], [2, 10, 21]]",466,"","",N/A,N/A,"{'High': '128 (0.344)', 'Low': '123 (0.331)', 'Medium': '121 (0.325)'}","{'High': '33 (0.351)', 'Low': '31 (0.330)', 'Medium': '30 (0.319)'}",2063,N/A
CYP2C9_P11712_B_high,CYP2C9,P11712,B,high,Yes,success,0.5425531914893617,0.5379841152869892,0.5415732451120274,0.5394179894179895,0.5383512544802868,"[[17, 9, 5], [9, 12, 9], [2, 9, 22]]",671,5,205,N/A,N/A,"{'Low': '204 (0.354)', 'High': '193 (0.334)', 'Medium': '180 (0.312)'}","{'High': '33 (0.351)', 'Low': '31 (0.330)', 'Medium': '30 (0.319)'}",3023,N/A
CYP2C9_P11712_B_medium,CYP2C9,P11712,B,medium,Yes,success,0.5531914893617021,0.5504307216127751,0.553414579350364,0.5559318623834754,0.5494623655913978,"[[17, 9, 5], [7, 13, 10], [2, 9, 22]]",739,14,273,N/A,N/A,"{'Low': '253 (0.392)', 'High': '205 (0.318)', 'Medium': '187 (0.290)'}","{'High': '33 (0.351)', 'Low': '31 (0.330)', 'Medium': '30 (0.319)'}",3023,N/A
CYP2C9_P11712_B_low,CYP2C9,P11712,B,low,Yes,success,0.5425531914893617,0.5400492511536429,0.5429111166674375,0.5421658986175114,0.5393613554903878,"[[17, 9, 5], [8, 13, 9], [3, 9, 21]]",2408,36,1942,N/A,N/A,"{'High': '1356 (0.586)', 'Low': '515 (0.223)', 'Medium': '443 (0.191)'}","{'High': '33 (0.351)', 'Low': '31 (0.330)', 'Medium': '30 (0.319)'}",3023,N/A
CYP2C19_P33261_A,CYP2C19,P33261,A,N/A,Yes,success,0.5151515151515151,0.46241830065359474,0.49435531788472964,0.5333333333333333,0.4764957264957265,"[[11, 2, 0], [5, 2, 1], [4, 4, 4]]",165,"","",N/A,N/A,"{'Low': '51 (0.386)', 'High': '46 (0.348)', 'Medium': '35 (0.265)'}","{'Low': '13 (0.394)', 'High': '12 (0.364)', 'Medium': '8 (0.242)'}",2063,N/A
CYP2C19_P33261_B_high,CYP2C19,P33261,B,high,Yes,success,0.5757575757575758,0.5428921568627452,0.5702985739750446,0.6374269005847953,0.545940170940171,"[[11, 2, 0], [5, 3, 0], [3, 4, 5]]",671,5,506,N/A,N/A,"{'Low': '222 (0.348)', 'High': '214 (0.335)', 'Medium': '202 (0.317)'}","{'Low': '13 (0.394)', 'High': '12 (0.364)', 'Medium': '8 (0.242)'}",3023,N/A
CYP2C19_P33261_B_medium,CYP2C19,P33261,B,medium,Yes,success,0.6060606060606061,0.5807857193056435,0.601217743532734,0.6703703703703704,0.5876068376068376,"[[11, 2, 0], [4, 4, 0], [3, 4, 5]]",802,16,637,N/A,N/A,"{'Low': '293 (0.381)', 'High': '259 (0.337)', 'Medium': '217 (0.282)'}","{'Low': '13 (0.394)', 'High': '12 (0.364)', 'Medium': '8 (0.242)'}",3023,N/A
CYP2C19_P33261_B_low,CYP2C19,P33261,B,low,Yes,success,0.5757575757575758,0.5428921568627452,0.5702985739750446,0.6374269005847953,0.545940170940171,"[[11, 2, 0], [5, 3, 0], [3, 4, 5]]",2149,39,1984,N/A,N/A,"{'High': '1125 (0.532)', 'Low': '525 (0.248)', 'Medium': '466 (0.220)'}","{'Low': '13 (0.394)', 'High': '12 (0.364)', 'Medium': '8 (0.242)'}",3023,N/A
CYP2D6_P10635_A,CYP2D6,P10635,A,N/A,Yes,success,0.6557377049180327,0.6544481669718126,0.6562398538089153,0.6587962962962962,0.6521164021164022,"[[22, 10, 4], [9, 25, 8], [1, 10, 33]]",607,"","",N/A,N/A,"{'High': '174 (0.359)', 'Medium': '166 (0.342)', 'Low': '145 (0.299)'}","{'High': '44 (0.361)', 'Medium': '42 (0.344)', 'Low': '36 (0.295)'}",2063,N/A
CYP2D6_P10635_B_high,CYP2D6,P10635,B,high,Yes,success,0.6639344262295082,0.6646464646464646,0.6655737704918033,0.674368686868687,0.6604136604136605,"[[22, 9, 5], [8, 27, 7], [0, 12, 32]]",616,4,9,N/A,N/A,"{'High': '175 (0.354)', 'Medium': '169 (0.342)', 'Low': '150 (0.304)'}","{'High': '44 (0.361)', 'Medium': '42 (0.344)', 'Low': '36 (0.295)'}",3023,N/A
CYP2D6_P10635_B_medium,CYP2D6,P10635,B,medium,Yes,success,0.6475409836065574,0.6479907215372266,0.6490964371216059,0.6538739073066139,0.644901394901395,"[[22, 9, 5], [9, 26, 7], [1, 12, 31]]",678,5,71,N/A,N/A,"{'High': '223 (0.401)', 'Medium': '183 (0.329)', 'Low': '150 (0.270)'}","{'High': '44 (0.361)', 'Medium': '42 (0.344)', 'Low': '36 (0.295)'}",3023,N/A
