gene_name,protein_name,alternative_names,uniprot_id,protein_family,protein_subfamily,ChEMBL_target
ADH1A,Alcohol dehydrogenase 1A,"ADH1A_HUMAN, Alcohol dehydrogenase 1A",P07327,Non-IDG Family Targets,Enzyme,CHEMBL1970
ADRA1A,Adrenergic receptor A1,"ADA1A_HUMAN, Alpha-1A adrenergic receptor",P35348,GPCR,,CHEMBL229
ADRA2A,Adrenergic receptor A2,"ADA2A_HUMAN, Alpha-2A adrenergic receptor",P08913,GPCR,,CHEMBL1867
ADRB1,Adrenergic receptor B1,"ADRB1_HUMAN, Beta-1 adrenergic receptor",P08588,GPCR,,CHEMBL213
ADRB2,Adrenergic receptor B2,"ADRB2_HUMAN, Beta-2 adrenergic receptor",P07550,GPCR,,CHEMBL210
AHR,AHR,"AHR_HUMAN, Aryl hydrocarbon receptor",P35869,Nuclear receptor,,CHEMBL3201
AKR7A3,Aldehyde reductase,"ARK73_HUMAN, Aflatoxin B1 aldehyde reductase member 3",O95154,Non-IDG Family Targets,,
ALDH1A1,ALDH1A1,"AL1A1_HUMAN, Aldehyde dehydrogenase 1A1",P00352,Non-IDG Family Targets,,CHEMBL3577
AOX1,Aldehyde oxidase,"AOXA_HUMAN, Aldehyde oxidase",Q06278,Non-IDG Family Targets,,CHEMBL3257
CACNA1C,CaV1.2,Voltage-dependent L-type calcium channel subunit alpha-1C,Q13936,Ion channel,,CHEMBL1940
CACNB1,Calcium L-channel beta-1 subunit,"Ca subunit, Voltage-dependent L-type calcium channel subunit beta-1",Q02641,Ion channel,,CHEMBL3988638
CHRM1,Muscarinic receptor M1,"ACM1_HUMAN, Muscarinic acetylcholine receptor M1",P11229,GPCR,,CHEMBL216
CHRM2,Muscarinic receptor M2,"ACM2_HUMAN, Muscarinic acetylcholine receptor M2",P08172,GPCR,,CHEMBL211
CHRM3,Muscarinic receptor M3,"ACM3_HUMAN, Muscarinic acetylcholine receptor M3",P20309,GPCR,,CHEMBL245
CHRNA10,nicotinic nAChR,ACH10_HUMAN Neuronal acetylcholine receptor subunit alpha-10,Q9GZZ6,Ion channel,,CHEMBL2109238
CHRNA3,nicotinic nAChR,ACHA3_HUMAN Neuronal acetylcholine receptor subunit alpha-3,P32297,Ion channel,,CHEMBL3068
CHRNA5,nicotinic nAChR,ACHA5_HUMAN Neuronal acetylcholine receptor subunit alpha-5,P30532,Ion channel,,CHEMBL3137272
CHRNA7,nicotinic nAChR,ACHA7_HUMAN Neuronal acetylcholine receptor subunit alpha-7,P36544,Ion channel,,CHEMBL2492
CHRNA9,nicotinic nAChR,ACHA9_HUMAN Neuronal acetylcholine receptor subunit alpha-9,Q9UGM1,Ion channel,,CHEMBL2184
CNR1,Cannabinoid receptor CB1,"CNR1_HUMAN, Cannabinoid receptor 1",P21554,GPCR,,CHEMBL218
CNR2,Cannabinoid receptor CB2,"CNR2_HUMAN, Cannabinoid receptor 2",P34972,GPCR,,CHEMBL253
